10.59.01.172283 PL300 login 
11.00.03.770157 PL300 words 1 
11.00.04.487943 PL300 words 1 
11.00.06.362661 PL300 words 2 
11.00.08.036068 PL300 words 1 
11.00.10.285048 PL300 words 1 
11.00.11.681062 PL300 words 2 
11.00.13.036430 PL300 words 2 
11.00.31.398969 PL300 words 2 
11.00.36.628843 PL300 words 1 
11.00.38.458564 PL300 words 1 
11.00.40.304113 PL300 words 2 
11.00.41.848355 PL300 words 1 
11.00.44.431234 PL300 words 1 
11.00.46.239585 PL300 words 2 
11.00.47.035642 PL300 words 2 
11.00.47.927295 PL300 words 2 
11.00.50.523454 PL300 words 1 
11.00.51.930972 PL300 words 2 
11.00.53.537579 PL300 words 1 
11.00.55.210140 PL300 words 1 
11.00.57.068697 PL300 words 2 
11.00.58.394619 PL300 words 1 
11.01.01.161977 PL300 words 1 
11.01.02.617875 PL300 words 1 
11.01.04.085449 PL300 words 2 
11.01.05.396020 PL300 words 1 
11.01.06.864499 PL300 words 2 
11.01.37.348024 PL300 words 1 
11.01.38.867154 PL300 words 2 
11.01.39.786353 PL300 words 2 
11.01.40.647997 PL300 words 2 
11.01.41.412186 PL300 words 2 
11.01.42.620259 PL300 words 1 
11.01.43.878728 PL300 words 1 
11.01.45.163477 PL300 words 2 
11.01.46.162518 PL300 words 1 
11.01.48.395464 PL300 words 1 
11.01.49.442987 PL300 words 2 
11.01.50.599948 PL300 words 2 
11.01.51.441975 PL300 words 2 
11.01.52.463509 PL300 words 1 
11.01.53.400537 PL300 words 2 
11.01.54.837445 PL300 words 1 
11.01.56.364145 PL300 words 1 
11.01.57.910549 PL300 words 2 
11.01.58.802082 PL300 words 1 
11.01.59.756816 PL300 words 1 
11.02.01.367440 PL300 words 1 
11.02.02.244773 PL300 words 2 
11.02.04.238082 PL300 words 1 
11.02.05.242745 PL300 words 2 
11.02.06.335943 PL300 words 1 
11.02.07.961457 PL300 words 2 
11.02.09.301529 PL300 words 2 
11.02.10.958937 PL300 words 2 
11.02.11.754051 PL300 words 2 
11.02.12.649434 PL300 words 2 
11.02.13.773421 PL300 words 1 
11.02.14.522972 PL300 words 1 
11.02.16.864452 PL300 words 2 
11.02.17.941602 PL300 words 2 
11.02.18.908846 PL300 words 1 
11.02.19.960643 PL300 words 1 
11.02.20.867054 PL300 words 2 
11.02.23.398029 PL300 words 2 
11.02.24.535052 PL300 words 1 
11.02.25.614923 PL300 words 1 
11.02.26.963787 PL300 words 2 
11.02.27.957082 PL300 words 2 
11.02.29.223563 PL300 words 1 
11.02.30.300936 PL300 words 1 
11.02.31.783892 PL300 words 2 
11.02.33.065300 PL300 words 1 
11.02.34.144168 PL300 words 1 
11.02.35.117759 PL300 words 2 
11.02.36.081326 PL300 words 1 
11.02.37.304584 PL300 words 2 
11.02.38.549909 PL300 words 2 
11.02.39.378091 PL300 words 1 
11.02.40.628418 PL300 words 1 
11.02.41.409493 PL300 words 2 
11.02.42.647797 PL300 words 2 
11.02.43.585280 PL300 words 2 
11.02.44.679189 PL300 words 2 
11.02.45.956586 PL300 words 1 
11.02.47.315491 PL300 words 1 
11.02.48.363277 PL300 words 1 
11.02.49.304781 PL300 words 2 
11.02.50.910051 PL300 words 2 
11.02.52.330827 PL300 words 1 
11.02.53.586428 PL300 words 1 
11.02.56.378400 PL300 words 2 
11.02.57.272777 PL300 words 2 
11.02.58.284467 PL300 words 1 
11.02.59.457588 PL300 words 1 
11.03.00.565534 PL300 words 2 
11.03.01.741730 PL300 words 1 
11.03.02.774539 PL300 words 1 
11.03.03.644852 PL300 words 2 
11.03.05.457673 PL300 words 1 
11.03.06.522505 PL300 words 2 
11.03.09.113394 PL300 words 2 
11.03.09.991730 PL300 words 1 
11.03.11.378417 PL300 words 1 
11.03.12.283826 PL300 words 2 
11.03.13.273456 PL300 words 2 
11.03.14.023451 PL300 words 2 
11.03.18.050158 PL300 words 2 
11.03.19.128025 PL300 words 1 
11.03.20.396397 PL300 words 1 
11.03.21.722925 PL300 words 1 
11.03.22.865964 PL300 words 2 
11.03.23.925784 PL300 words 1 
11.03.24.690818 PL300 words 1 
11.03.25.707521 PL300 words 2 
11.03.27.004269 PL300 words 1 
11.03.27.848513 PL300 words 1 
11.03.29.161004 PL300 words 2 
11.03.30.190884 PL300 words 2 
11.03.30.911801 PL300 words 1 
11.03.32.176162 PL300 words 1 
11.03.33.566861 PL300 words 1 
11.03.34.551491 PL300 words 2 
11.03.36.006347 PL300 words 1 
11.03.36.926809 PL300 words 2 
11.03.38.347656 PL300 words 2 
11.03.39.473650 PL300 words 2 
11.03.41.628458 PL300 words 1 
11.03.43.206655 PL300 words 2 
11.03.44.222356 PL300 words 2 
11.03.46.209646 PL300 words 1 
11.03.47.442920 PL300 words 1 
11.03.48.409490 PL300 words 1 
11.03.49.364037 PL300 words 2 
11.03.50.302525 PL300 words 2 
11.03.51.941900 PL300 words 2 
11.03.52.832340 PL300 words 2 
11.03.53.926249 PL300 words 1 
11.03.55.021179 PL300 words 2 
11.03.56.128122 PL300 words 1 
11.03.57.457658 PL300 words 1 
11.03.58.988729 PL300 words 2 
11.04.00.050595 PL300 words 2 
11.04.01.022143 PL300 words 2 
11.04.02.771831 PL300 words 1 
11.04.04.650880 PL300 words 1 
11.04.05.927294 PL300 words 2 
11.04.08.284542 PL300 words 1 
11.04.09.710335 PL300 words 2 
11.04.10.691945 PL300 words 2 
11.04.12.429564 PL300 words 1 
11.04.13.680933 PL300 words 2 
11.04.15.317244 PL300 words 2 
11.04.16.815228 PL300 words 2 
11.04.21.567867 PL300 words 1 
11.04.22.627685 PL300 words 2 
11.04.24.614968 PL300 words 1 
11.04.25.461234 PL300 words 2 
11.04.26.598243 PL300 words 2 
11.04.27.316152 PL300 words 1 
11.04.27.675106 PL300 words 2 
11.04.28.299767 PL300 words 2 
11.04.28.742945 PL300 words 1 
11.04.29.117943 PL300 words 1 
11.04.29.621281 PL300 words 2 
11.04.30.066465 PL300 words 2 
11.04.30.712195 PL300 words 1 
11.04.31.252652 PL300 words 2 
11.04.31.802089 PL300 words 1 
11.04.32.286368 PL300 words 2 
11.04.32.709549 PL300 words 1 
